Imported from s-asymmetric-typeE-17x21L130-sample00.h5 hdf Network
  4590.444275 5744.471436 4942.891113 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  352 total number of segments
name	type	from	to	diam		flow		HD
131 1520.000000 2350.999634 1686.867310
132 2560.000000 2651.221680 2536.023804
133 3405.000000 2013.249695 2960.602051
134 2430.000000 1375.277649 1474.578217
135 2430.000000 1825.610840 2748.312866
136 1910.000000 2275.943970 1474.578217
137 2690.000000 1525.388733 2536.023804
138 2170.000000 2876.388184 2536.023804
139 1650.000000 1225.166611 1686.867310
140 2300.000000 2801.332886 2960.602051
141 1390.000000 3626.943604 2111.445557
142 1520.000000 2951.443848 2748.312866
143 1130.000000 2426.055176 3172.891113
144 1130.000000 2726.277222 2748.312866
145 1130.000000 2125.833008 1686.867310
146 2040.000000 1150.111069 1474.578217
147 2430.000000 3026.499390 2960.602051
148 1520.000000 2050.777466 1474.578217
149 2040.000000 1450.333221 2960.602051
150 1390.000000 1975.721924 1899.156433
151 1390.000000 1525.388733 1899.156433
152 2430.000000 2275.943970 2748.312866
153 1390.000000 2876.388184 3172.891113
154 1130.000000 1975.721924 3172.891113
155 2170.000000 2576.166260 1686.867310
156 2300.000000 3401.777100 2748.312866
157 1910.000000 3176.610352 2748.312866
158 1260.000000 2200.888550 2536.023804
159 2300.000000 2200.888550 2536.023804
160 2950.000000 1375.277649 1474.578217
161 740.000000 2951.443848 1474.578217
162 1520.000000 2651.221680 3172.891113
163 3340.000000 2350.999634 1050.000000
164 2950.000000 1075.055534 1899.156433
165 3210.000000 2125.833008 2323.734619
166 1000.000000 3551.887939 2536.023804
167 2430.000000 2876.388184 1899.156433
168 2820.000000 3101.554932 1899.156433
169 1520.000000 3551.887939 1899.156433
170 1780.000000 3551.887939 1899.156433
171 1260.000000 2501.110596 2111.445557
172 1000.000000 2651.221680 1899.156433
173 1520.000000 2651.221680 1899.156433
174 2820.000000 1600.444275 2748.312866
175 3210.000000 1375.277649 2748.312866
176 740.000000 3551.887939 1262.289108
177 1910.000000 2726.277222 1474.578217
178 1780.000000 3101.554932 1262.289108
179 3080.000000 2200.888550 1262.289108
180 2430.000000 3176.610352 2748.312866
181 1000.000000 2350.999634 1050.000000
182 2560.000000 3251.666016 2960.602051
183 3470.000000 3326.721436 2536.023804
184 2170.000000 2876.388184 3172.891113
185 3340.000000 3251.666016 2960.602051
186 2560.000000 2801.332886 2960.602051
187 3210.000000 1825.610840 2111.445557
188 3080.000000 1900.666443 1686.867310
189 1520.000000 2801.332886 1050.000000
190 1650.000000 3476.832764 1050.000000
191 1910.000000 3476.832764 1050.000000
192 870.000000 3326.721436 1262.289108
193 2560.000000 2651.221680 3172.891113
194 2690.000000 1225.166611 1686.867310
195 2430.000000 2576.166260 2960.602051
196 740.000000 2501.110596 1474.578217
197 3340.000000 1750.555298 1899.156433
198 2430.000000 2876.388184 3172.891113
199 1260.000000 3101.554932 1262.289108
